2017-11-14 12:50:44 connection.py[line:22] INFO Connected to amqp://test:**@192.168.205.169:5672/DynamicSchedule
2017-11-14 12:50:44 mingle.py[line:41] INFO mingle: searching for neighbors
2017-11-14 12:50:45 mingle.py[line:50] INFO mingle: all alone
2017-11-14 12:50:45 worker.py[line:164] INFO celery@yuanhao-Workstation ready.
2017-11-14 12:50:51 strategy.py[line:109] INFO Received task: algorithmModel.algorithm_entry.optimization[70a75e6f-5f90-49e3-93fe-49decb010f11]  
2017-11-14 12:50:51 algorithm_entry.py[line:36] INFO The algorithm starts
2017-11-14 12:50:51 log.py[line:235] WARNING Individual:    1    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 init.py[line:105] INFO Individual:    1    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 log.py[line:235] WARNING Individual:    2    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 init.py[line:105] INFO Individual:    2    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 log.py[line:235] WARNING Individual:    3    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 init.py[line:105] INFO Individual:    3    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 log.py[line:235] WARNING Individual:    4    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 init.py[line:105] INFO Individual:    4    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 log.py[line:235] WARNING Individual:    5    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 init.py[line:105] INFO Individual:    5    GoneTrailer:    0    GoneShips:    0    RemainShips:   79
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:51] INFO num_of_high_priority is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:53] INFO num_of_big_car is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:55] INFO num_of_mix_city is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:57] INFO num_of_mix_dealer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:59] INFO num_of_mix_warehouse is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:47] INFO num_trailer is zero.
2017-11-14 12:50:51 ind_cost_function.py[line:49] INFO num_of_loaded_shipments is zero.
