order_code,customer_code,,start_loc,dealer_code,f,end_loc,end_city,I,j,k,effective_time,priority,n,car_type,p,q,r,s,t,u,v,w,x,y,z,aa,ab
17065961450,1001,1001,1004,8821,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 07:10:25,3,,XL,0,0,XL,2017-05-22 19:49:09,,,0,0,8821,,8821,,2017-05-28 23:59:00
17065961710,1001,1001,1002,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 07:29:01,1,,L,0,0,L,2017-05-22 20:45:41,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065961830,1001,1001,1003,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 07:29:28,7,,S,0,0,S,2017-05-22 20:46:24,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065961950,1001,1001,1001,12981,1253,1261,1260,1020,1008,2017-05-30 00:00:00,2017-05-22 07:29:56,9,,S,0,0,S,2017-05-22 22:22:12,,,0,0,12981,,12981,,2017-05-28 23:59:00
17065963000,1001,1001,1004,1362,1146,1058,1057,1020,1008,2017-05-27 00:00:00,2017-05-22 07:39:17,8,,S,0,0,S,2017-05-22 20:13:41,,,0,0,1362,,1362,,2017-05-28 23:59:00
17065964140,1001,1001,1002,12953,2149,1440,1059,1020,1008,2017-05-30 00:00:00,2017-05-22 07:42:01,4,,S,0,0,S,2017-05-22 12:23:33,,,0,0,12953,,12953,,2017-05-28 23:59:00
17065964190,1001,1001,1001,1490,1426,1344,1343,1020,1008,2017-05-28 00:00:00,2017-05-22 07:42:10,1,,S,0,0,S,2017-05-23 16:38:45,,,0,0,1490,,1490,,2017-05-28 23:59:00
17065964640,1001,1001,1003,12981,1253,1261,1260,1020,1008,2017-05-30 00:00:00,2017-05-22 08:34:31,1,,L,0,0,L,2017-05-22 22:22:56,,,0,0,12981,,12981,,2017-05-28 23:59:00
17065964650,1001,1001,1004,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:33,1,,L,0,0,L,2017-05-22 20:45:21,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964660,1001,1001,1004,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:35,4,,L,0,0,L,2017-05-22 20:45:47,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964670,1001,1001,1002,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:37,3,,L,0,0,L,2017-05-22 20:45:34,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964680,1001,1001,1003,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:39,6,,L,0,0,L,2017-05-22 20:45:25,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964690,1001,1001,1002,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:40,2,,L,0,0,L,2017-05-22 20:45:30,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964700,1001,1001,1004,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:42,5,,L,0,0,L,2017-05-22 20:45:59,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964710,1001,1001,1001,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 08:34:44,8,,L,0,0,L,2017-05-23 21:17:28,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964590,1001,1001,1001,1193,1152,1064,1063,1020,1008,2017-05-28 00:00:00,2017-05-22 08:34:51,2,,XL,0,0,XL,2017-05-22 20:24:17,,,0,0,1193,,1193,,2017-05-28 23:59:00
17065964600,1001,1001,1003,1193,1152,1064,1063,1020,1008,2017-05-28 00:00:00,2017-05-22 08:34:53,6,,XL,0,0,XL,2017-05-22 20:23:53,,,0,0,1193,,1193,,2017-05-28 23:59:00
17065964740,1001,1001,1003,1813,1147,1059,1058,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:26,7,,XL,0,0,XL,2017-05-24 17:44:32,,,0,0,1813,,1813,,2017-05-28 23:59:00
17065964750,1001,1001,1001,1813,1147,1059,1058,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:28,2,,XL,0,0,XL,2017-05-24 17:44:41,,,0,0,1813,,1813,,2017-05-28 23:59:00
17065964780,1001,1001,1004,1193,1152,1064,1063,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:38,7,,XL,0,0,XL,2017-05-22 20:24:11,,,0,0,1193,,1193,,2017-05-28 23:59:00
17065964790,1001,1001,1002,1193,1152,1064,1063,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:40,9,,XL,0,0,XL,2017-05-22 20:23:58,,,0,0,1193,,1193,,2017-05-28 23:59:00
17065964820,1001,1001,1003,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 09:22:47,7,,L,0,0,L,2017-05-23 21:17:23,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964830,1001,1001,1001,9337,1155,1067,1066,1020,1008,2017-05-27 00:00:00,2017-05-22 09:22:49,4,,L,0,0,L,2017-05-23 21:17:45,,,0,0,9337,,9337,,2017-05-28 23:59:00
17065964870,1001,1001,1001,3174,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:55,3,,XL,0,0,XL,2017-05-22 20:06:48,,,0,0,3174,,3174,,2017-05-28 23:59:00
17065964880,1001,1001,1002,3174,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:22:57,6,,XL,0,0,XL,2017-05-22 20:06:53,,,0,0,3174,,3174,,2017-05-28 23:59:00
17065964890,1001,1001,1004,13246,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:23:00,7,,XL,0,0,XL,2017-05-22 20:07:19,,,0,0,13246,,13246,,2017-05-28 23:59:00
17065964900,1001,1001,1003,13246,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:23:03,8,,XL,0,0,XL,2017-05-22 20:06:56,,,0,0,13246,,13246,,2017-05-28 23:59:00
17065964910,1001,1001,1004,13246,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:23:04,4,,XL,0,0,XL,2017-05-22 20:07:26,,,0,0,13246,,13246,,2017-05-28 23:59:00
17065964920,1001,1001,1003,13246,1156,1068,1067,1020,1008,2017-05-28 00:00:00,2017-05-22 09:23:06,9,,XL,0,0,XL,2017-05-22 20:06:41,,,0,0,13246,,13246,,2017-05-28 23:59:00
